title,link,image,lprice,hprice,mall_name,product_id,brand,maker,category1,category2,category3,category4,search_keyword,capacity,brand_type,price_range,detailed_price
"스타벅스 SS 시그니처 단테 텀블러 710ml, 1개",https://search.shopping.naver.com/catalog/54111985332,https://shopping-phinf.pstatic.net/main_5411198/54111985332.20250416173809.jpg,43100,0,네이버,54111985332,스타벅스,,생활/건강,주방용품,잔/컵,텀블러,텀블러,710.0,기타/노브랜드,3-5만원,3-5만
"레고트 루프 텀블러 멀티 600ml, 1개",https://search.shopping.naver.com/catalog/54469417733,https://shopping-phinf.pstatic.net/main_5446941/54469417733.20250428150055.jpg,35150,0,네이버,54469417733,레고트,,생활/건강,주방용품,잔/컵,텀블러,텀블러,600.0,기타/노브랜드,3-5만원,3-5만
"스탠리 아이스플로우 플립 스트로 2.0 텀블러 591ml, 프로스트 화이트",https://smartstore.naver.com/main/products/11471436340,https://shopping-phinf.pstatic.net/main_8901594/89015946705.4.jpg,44000,0,스탠리 코리아,89015946705,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,591.0,유명브랜드,3-5만원,3-5만
오왈라 프리십 인셀레이티드 710ml,https://search.shopping.naver.com/catalog/47931281618,https://shopping-phinf.pstatic.net/main_4793128/47931281618.20240528123305.jpg,49900,0,네이버,47931281618,오왈라,,생활/건강,주방용품,잔/컵,텀블러,텀블러,710.0,기타/노브랜드,3-5만원,3-5만
"스탠리 스탠리1913 카페투고 트래블 머그 텀블러 354ml, 블랙",https://search.shopping.naver.com/catalog/54469447259,https://shopping-phinf.pstatic.net/main_5446944/54469447259.20250822174832.jpg,34000,0,네이버,54469447259,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,354.0,유명브랜드,3-5만원,3-5만
"스탠리 스탠리1913 아이스플로우 플립스트로 2.0 텀블러 887ml, 1개",https://search.shopping.naver.com/catalog/55814233454,https://shopping-phinf.pstatic.net/main_5581423/55814233454.20250716110406.jpg,47200,0,네이버,55814233454,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,887.0,유명브랜드,3-5만원,3-5만
"레고트 루프 텀블러 멀티 1L, 1개",https://search.shopping.naver.com/catalog/54467843715,https://shopping-phinf.pstatic.net/main_5446784/54467843715.20250428104503.jpg,39900,0,네이버,54467843715,레고트,,생활/건강,주방용품,잔/컵,텀블러,텀블러,1000.0,기타/노브랜드,3-5만원,3-5만
"스타벅스 SS 스탠리 크림 켄처 텀블러 591ml, 크림",https://search.shopping.naver.com/catalog/52504573655,https://shopping-phinf.pstatic.net/main_5250457/52504573655.20250115115510.jpg,31000,0,네이버,52504573655,스타벅스,스타벅스,생활/건강,주방용품,잔/컵,텀블러,텀블러,591.0,기타/노브랜드,3-5만원,3-5만
스탠리 텀블러 591ml 손잡이 퀜처 H2.0 플로우스테이트 빨대 텀블러,https://smartstore.naver.com/main/products/11725319648,https://shopping-phinf.pstatic.net/main_8926983/89269830147.jpg,49400,0,치포마켓,89269830147,스탠리,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,591.0,유명브랜드,3-5만원,3-5만
스탠리 1913 x 제니 퀜처 럭스 텀블러 887ml 미드나잇 루비,https://smartstore.naver.com/main/products/12300751581,https://shopping-phinf.pstatic.net/main_8984526/89845262297.jpg,113000,0,스탠리 코리아,89845262297,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,887.0,유명브랜드,5만원 이상,5만+
